id,年份,题号,题型,主考点,相关考点(背诵P/精讲P)
2010-1,2010,1,single,抢劫罪,抢劫罪=140/424 | 属地管辖=None/9 | 普遍管辖=None/21
2010-2,2010,2,single,拐卖儿童罪,
2010-3,2010,3,single,疏忽大意的过失,疏忽大意的过失=27/87 | 危害结果=17/51 | 犯罪主体=20/65 | 犯罪构成=13/33 | 不可抗力=24/84
2010-4,2010,4,single,工程重大安全事故罪,工程重大安全事故罪=None/None | 犯罪主体=20/65 | 单位犯罪=22/72
2010-5,2010,5,single,拐卖妇女儿童罪,拐卖妇女儿童罪=132/395 | 犯罪未遂=34/126 | 犯罪中止=35/130 | 犯罪预备=33/123 | 着手=None/None
2010-6,2010,6,single,故意杀人罪,故意杀人罪=126/370 | 共同犯罪=37/139 | 危害行为=16/45 | 犯罪构成=13/33
2010-7,2010,7,single,量刑,量刑=58/213 | 刑罚=47/195
2010-8,2010,8,multi,限制加重原则,限制加重原则=69/234 | 无期徒刑=52/201 | 吸收原则=69/234 | 有期徒刑=52/201 | 并科原则=69/234 | 附加刑=50/204 | 拘役=52/200 | 死刑=53/202 | 主刑=None/199 | 管制=51/199
2010-9,2010,9,single,以危险方法危害公共安全罪,以危险方法危害公共安全罪=94/282 | 故意毁坏财物罪=144/459 | 破坏交通设施罪=95/287 | 破坏交通工具罪=94/284
2010-10,2010,10,single,伪造货币罪,伪造货币罪=111/335
2010-11,2010,11,single,报复陷害罪,报复陷害罪=137/413 | 侮辱罪=130/410 | 诽谤罪=136/None | 犯罪主体=20/65
2010-12,2010,12,single,招摇撞骗罪,招摇撞骗罪=149/471 | 诈骗罪=141/444
2010-13,2010,13,single,侵占罪,信用卡诈骗罪=117/346 | 诈骗罪=141/444 | 侵占罪=142/455 | 盗窃罪=141/436
2010-14,2010,14,single,脱逃罪,脱逃罪=161/511 | 缓刑=70/236 | 刑罚=47/195
2010-15,2010,15,single,强令违章冒险作业罪,以危险方法危害公共安全罪=94/282 | 强令违章冒险作业罪=None/None | 重大责任事故罪=102/308 | 过失致人死亡罪=127/374 | 有期徒刑=52/201 | 拘役=52/200
2010-16,2010,16,single,贪污罪,贪污罪=172/546 | 盗窃罪=141/436 | 数罪并罚=67/232
2010-17,2010,17,single,投放危险物质罪,投放危险物质罪=94/280 | 故意伤害罪=127/375 | 故意杀人罪=126/370 | 爆炸罪=93/279 | 放火罪=93/276 | 间接故意=25/81
2010-18,2010,18,single,受贿罪,受贿罪=174/554 | 共同犯罪=37/139 | 犯罪集团=None/152 | 犯罪主体=20/65
2010-19,2010,19,single,间谍罪,故意泄露国家秘密罪=180/572 | 侵犯商业秘密罪=121/360 | 间谍罪=91/272
2010-20,2010,20,single,逃税罪,故意伤害罪=127/375 | 逃税罪=118/351 | 抗税罪=118/354
2010-21,2010,21,multi,挪用公款罪,挪用特定款物罪=None/554 | 挪用公款罪=173/551
2010-22,2010,22,multi,故意杀人罪,故意伤害罪=127/375 | 故意杀人罪=126/370 | 抢劫罪=140/424 | 数罪并罚=67/232 | 罪数=41/165
2010-23,2010,23,multi,虚开增值税专用发票罪,虚开增值税专用发票罪=None/None
2010-24,2010,24,multi,侵犯商业秘密罪,侵犯商业秘密罪=121/360
2010-25,2010,25,multi,拐卖妇女儿童罪,拐卖妇女儿童罪=132/395 | 职务侵占罪=143/457 | 聚众斗殴罪=155/466 | 徇私枉法罪=None/None | 招摇撞骗罪=149/471 | 行贿罪=176/564 | 贪污罪=172/546 | 赌博罪=157/498 | 受贿罪=174/554 | 诈骗罪=141/444 | 侵占罪=142/455 | 盗窃罪=141/436 | 犯罪主观方面=23/79 | 犯罪客观方面=186/45 | 想象竞合犯=189/169 | 防卫过当=30/107 | 数罪并罚=67/232 | 共同犯罪=37/139 | 直接故意=25/80 | 犯罪客体=14/39 | 犯罪集团=None/152 | 犯罪主体=20/65 | 正当防卫=29/101 | 犯罪构成=13/33 | 牵连犯=192/183 | 从犯=39/156 | 主犯=39/153 | 刑罚=47/195
2011-1,2011,1,single,刑法的空间效力,刑法的空间效力=8/None | 属地管辖=None/9
2011-2,2011,2,single,交通肇事罪,交通肇事罪=95/289
2011-3,2011,3,single,过于自信的过失,过于自信的过失=27/88 | 疏忽大意的过失=27/87 | 直接故意=25/80 | 危害结果=17/51 | 间接故意=25/81
2011-4,2011,4,single,从旧兼从轻,从旧兼从轻=185/None | 溯及力=185/23
2011-5,2011,5,single,防卫过当,防卫过当=30/107 | 刑事责任=19/191 | 正当防卫=29/101
2011-6,2011,6,single,绑架罪,绑架罪=132/392 | 无期徒刑=52/201 | 有期徒刑=52/201 | 减刑=72/242 | 拘役=52/200 | 立功=66/228 | 累犯=62/218 | 缓刑=70/236 | 假释=75/246 | 管制=51/199
2011-7,2011,7,single,共同犯罪,共同犯罪=37/139 | 一般自首=63/226 | 自首=62/221
2011-8,2011,8,single,牵连犯,牵连犯=192/183 | 罪数=41/165
2011-9,2011,9,single,数罪并罚,数罪并罚=67/232 | 无期徒刑=52/201 | 吸收原则=69/234 | 有期徒刑=52/201 | 并科原则=69/234 | 附加刑=50/204 | 拘役=52/200 | 死刑=53/202 | 主刑=None/199 | 罪数=41/165 | 刑罚=47/195 | 管制=51/199
2011-10,2011,10,single,罪数,罪数=41/165
2011-11,2011,11,single,数罪并罚,数罪并罚=67/232 | 罪数=41/165
2011-12,2011,12,single,共同犯罪,盗窃罪=141/436 | 刑事责任年龄=20/63 | 刑事责任=19/191 | 共同犯罪=37/139 | 从犯=39/156 | 主犯=39/153
2011-13,2011,13,single,过于自信的过失,过于自信的过失=27/88 | 疏忽大意的过失=27/87 | 刑事责任=19/191 | 危害结果=17/51
2011-14,2011,14,single,受贿罪,执行判决裁定失职罪=181/576 | 滥用职权罪=180/569 | 徇私枉法罪=None/None | 受贿罪=174/554
2011-15,2011,15,single,故意伤害罪,故意伤害罪=127/375 | 非法拘禁罪=131/389 | 故意杀人罪=126/370 | 结果加重犯=None/172
2011-16,2011,16,single,侵犯著作权罪,生产销售伪劣产品罪=106/317 | 销售侵权复制品罪=120/None | 侵犯著作权罪=120/358 | 非法经营罪=123/364 | 罪刑法定原则=7/16 | 数罪并罚=67/232
2011-17,2011,17,single,无期徒刑,无期徒刑=52/201 | 附加刑=50/204 | 死刑=53/202 | 罚金=54/204
2011-18,2011,18,single,窝藏罪,
2011-19,2011,19,single,逃税罪,骗取出口退税罪=None/None | 逃税罪=118/351 | 抗税罪=118/354
2011-20,2011,20,single,抢夺罪,诈骗罪=141/444 | 侵占罪=142/455 | 抢夺罪=142/434 | 盗窃罪=141/436
2011-41,2011,41,multi,煽动分裂国家罪,煽动分裂国家罪=None/None | 破坏交通设施罪=95/287 | 分裂国家罪=89/268 | 故意杀人罪=126/370 | 犯罪未遂=34/126 | 危害结果=17/51 | 犯罪既遂=33/119 | 实行行为=None/125 | 行为犯=186/127 | 实害犯=33/127 | 危险犯=33/127 | 着手=None/None
2011-42,2011,42,multi,缓刑,缓刑=70/236 | 假释=75/246 | 管制=51/199
2011-43,2011,43,multi,脱逃罪,脱逃罪=161/511 | 管制=51/199
